ZIPCODE,BORO,VIOLATION CODE
10000.0,MANHATTAN,15
10001.0,MANHATTAN,3495
10002.0,MANHATTAN,3512
10003.0,MANHATTAN,4762
10004.0,MANHATTAN,1015
10005.0,MANHATTAN,497
10006.0,MANHATTAN,325
10007.0,MANHATTAN,1044
10009.0,MANHATTAN,2152
10010.0,MANHATTAN,1804
10011.0,MANHATTAN,3161
10012.0,MANHATTAN,2945
10013.0,MANHATTAN,3862
10014.0,MANHATTAN,2690
10016.0,MANHATTAN,3464
10017.0,MANHATTAN,2626
10018.0,MANHATTAN,2594
10019.0,MANHATTAN,4831
10020.0,MANHATTAN,213
10021.0,MANHATTAN,1130
10022.0,MANHATTAN,3187
10023.0,MANHATTAN,1305
10024.0,MANHATTAN,1359
10025.0,MANHATTAN,1695
10026.0,MANHATTAN,615
10027.0,MANHATTAN,1212
10028.0,MANHATTAN,1467
10029.0,MANHATTAN,1567
10030.0,MANHATTAN,214
10031.0,MANHATTAN,882
10032.0,MANHATTAN,933
10033.0,MANHATTAN,825
10034.0,MANHATTAN,793
10035.0,MANHATTAN,633
10036.0,MANHATTAN,4370
10037.0,MANHATTAN,219
10038.0,MANHATTAN,1318
10039.0,MANHATTAN,217
10040.0,MANHATTAN,559
10041.0,MANHATTAN,9
10044.0,MANHATTAN,49
10048.0,MANHATTAN,6
10055.0,MANHATTAN,8
10065.0,MANHATTAN,1348
10069.0,MANHATTAN,6
10075.0,MANHATTAN,640
10080.0,MANHATTAN,4
10103.0,MANHATTAN,36
10105.0,MANHATTAN,25
10106.0,MANHATTAN,15
10107.0,MANHATTAN,6
10110.0,MANHATTAN,6
10111.0,MANHATTAN,66
10112.0,MANHATTAN,81
10115.0,MANHATTAN,10
10118.0,MANHATTAN,50
10119.0,MANHATTAN,169
10121.0,MANHATTAN,360
10123.0,MANHATTAN,7
10128.0,MANHATTAN,1135
10153.0,MANHATTAN,4
10154.0,MANHATTAN,21
10155.0,MANHATTAN,2
10158.0,MANHATTAN,3
10165.0,MANHATTAN,12
10167.0,MANHATTAN,21
10168.0,MANHATTAN,5
10168.0,Missing,3
10169.0,MANHATTAN,138
10170.0,MANHATTAN,10
10171.0,MANHATTAN,8
10172.0,MANHATTAN,4
10173.0,MANHATTAN,6
10174.0,MANHATTAN,16
10176.0,MANHATTAN,6
10177.0,MANHATTAN,6
10178.0,MANHATTAN,26
10179.0,MANHATTAN,7
10271.0,MANHATTAN,24
10279.0,MANHATTAN,29
10280.0,MANHATTAN,191
10281.0,MANHATTAN,74
10281.0,Missing,6
10282.0,MANHATTAN,115
10301.0,STATEN ISLAND,773
10302.0,STATEN ISLAND,482
10303.0,STATEN ISLAND,229
10304.0,STATEN ISLAND,341
10305.0,STATEN ISLAND,718
10306.0,STATEN ISLAND,741
10307.0,STATEN ISLAND,178
10308.0,STATEN ISLAND,353
10309.0,STATEN ISLAND,475
10310.0,STATEN ISLAND,478
10312.0,STATEN ISLAND,544
10314.0,STATEN ISLAND,1242
10451.0,BRONX,1068
10452.0,BRONX,796
10453.0,BRONX,768
10454.0,BRONX,609
10455.0,BRONX,781
10456.0,BRONX,624
10457.0,BRONX,634
10458.0,BRONX,1435
10459.0,BRONX,599
10460.0,BRONX,440
10461.0,BRONX,1099
10462.0,BRONX,1035
10463.0,BRONX,928
10464.0,BRONX,285
10465.0,BRONX,536
10466.0,BRONX,654
10467.0,BRONX,1191
10468.0,BRONX,775
10469.0,BRONX,716
10470.0,BRONX,301
10471.0,BRONX,350
10472.0,BRONX,760
10473.0,BRONX,217
10474.0,BRONX,239
10475.0,BRONX,430
11001.0,QUEENS,16
11004.0,QUEENS,224
11005.0,QUEENS,32
11040.0,QUEENS,155
11101.0,QUEENS,2060
11102.0,QUEENS,653
11103.0,QUEENS,1680
11104.0,QUEENS,853
11105.0,QUEENS,1048
11106.0,QUEENS,1249
11109.0,QUEENS,61
11201.0,BROOKLYN,2943
11203.0,BROOKLYN,1094
11204.0,BROOKLYN,1087
11205.0,BROOKLYN,1112
11206.0,BROOKLYN,1095
11207.0,BROOKLYN,1066
11208.0,BROOKLYN,920
11209.0,BROOKLYN,1921
11210.0,BROOKLYN,625
11211.0,BROOKLYN,2472
11212.0,BROOKLYN,822
11213.0,BROOKLYN,860
11214.0,BROOKLYN,1519
11215.0,BROOKLYN,2437
11216.0,BROOKLYN,1184
11217.0,BROOKLYN,1851
11218.0,BROOKLYN,1205
11219.0,BROOKLYN,803
11220.0,BROOKLYN,2891
11221.0,BROOKLYN,862
11222.0,BROOKLYN,1521
11223.0,BROOKLYN,1349
11224.0,BROOKLYN,509
11225.0,BROOKLYN,949
11226.0,BROOKLYN,1598
11228.0,BROOKLYN,446
11229.0,BROOKLYN,1006
11230.0,BROOKLYN,835
11231.0,BROOKLYN,1144
11232.0,BROOKLYN,917
11233.0,BROOKLYN,555
11234.0,BROOKLYN,1097
11235.0,BROOKLYN,1294
11236.0,BROOKLYN,940
11237.0,BROOKLYN,1640
11238.0,BROOKLYN,1669
11239.0,BROOKLYN,136
11241.0,BROOKLYN,9
11242.0,BROOKLYN,8
11249.0,BROOKLYN,1176
11249.0,Missing,38
11354.0,QUEENS,2974
11355.0,QUEENS,1696
11356.0,QUEENS,377
11357.0,QUEENS,540
11358.0,QUEENS,1097
11360.0,QUEENS,143
11361.0,QUEENS,1000
11362.0,QUEENS,389
11363.0,QUEENS,101
11364.0,QUEENS,379
11365.0,QUEENS,350
11366.0,QUEENS,391
11367.0,QUEENS,404
11368.0,QUEENS,2041
11369.0,QUEENS,608
11370.0,QUEENS,96
11371.0,MANHATTAN,3
11371.0,QUEENS,11
11372.0,QUEENS,2747
11373.0,QUEENS,1716
11374.0,QUEENS,737
11375.0,QUEENS,1591
11377.0,QUEENS,1540
11378.0,QUEENS,628
11379.0,QUEENS,313
11385.0,QUEENS,1954
11411.0,QUEENS,162
11412.0,QUEENS,302
11413.0,QUEENS,335
11414.0,QUEENS,418
11415.0,QUEENS,257
11416.0,QUEENS,303
11417.0,QUEENS,588
11418.0,QUEENS,669
11419.0,QUEENS,747
11420.0,QUEENS,658
11421.0,QUEENS,629
11422.0,QUEENS,255
11423.0,QUEENS,225
11426.0,QUEENS,224
11427.0,QUEENS,157
11428.0,QUEENS,336
11429.0,QUEENS,190
11430.0,QUEENS,857
11432.0,QUEENS,1379
11433.0,QUEENS,203
11434.0,QUEENS,549
11435.0,QUEENS,885
11436.0,QUEENS,141
11691.0,QUEENS,406
11692.0,QUEENS,68
11693.0,QUEENS,199
11694.0,QUEENS,269
11697.0,QUEENS,26
